"Important: Please do not insert comments on this sheet. All content is regularly copied from the first sheet, ""1) Phrases for refugees""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers for short section,ID,English,German [Deutsch],Arabic (Fusha),Arabic phonetics (Fusha) / Syrian phonetic,Albanian,"Amharic""አማርኛ 
(empty)","Armenian
(modern)",Armenian phonetic,Bangla [বাংলা] ,Bangla [বাংলা] Phonetic,Bosnian / Croatian / Serbian,Bulgarian,Bulgarian Phonetic (empty),Catalan [Català],Croatian,Czech,Danish [Dansk],[ دری. ]    Dari,Dari [ دری. ] Phonetic,Dutch,[ فارسی. ]   Farsi,Farsi [ فارسی. ] Phonetic,Filipino,Finnish,French [Français],Greek alphabet,Greek phonetic,Hungarian ,Icelandic,Italian [Italiano],Korean,Korean phonetic,Kurdish (Kurmancî),"(Kurdish (Sorani
[ کوردی سۆرانی ]",Lithuanian,Macedonian ,Macedonian Phonetic (empty),Norwegian [Norsk],Pashto,Pashto Phonetic,Polish,Portuguese [Português],Romanian [Românã],Russian [русский],Serbian (empty),Slovak ,Slovenian,Somali,Spanish [Español],Swahili (empty),Swedish [Svenska],Tamil ,Tamil (Phonetic),Tigrinya,"
Tigrinya
 Phonetic",Turkish,Urdu,Urdu Phonetic,Vietnamese
,,eng ,deu,ara,apc-Latn,sqi,,hye,hye-Latn,ben ,ben-Latn,hbs,bul ,bul-Latn,cat,hrv,ces,dan,prs,prs-Latn,nl,fas,fas-Latn,fil ,fin ,fra,ell,ell-Latn,hun ,isl,ita ,ko,Ko-Latn,kmr,ckb,lit  ,mkd,mkd-Latn,nor ,pus,pus-Latn,pol ,por  ,rom ,rus ,srp,slk,slv,som ,spa ,swh,swe ,tam ,tam-Latn,tir,tir-Latn,tur ,urd ,urd-Latn,vie 
G000,,Basic Conversation,Grundlagen,,,,,,,বুনিয়াদি,Buniyādi,,,,Conversa bàsica,,,,,,Basic conversatie,,,,Yleiskeskustelu,Conversation de base,Βασική συνομιλία,Vasikí Synomilía,Társalgás,,Conversazione di Base,,,,گفتوگۆ,Paprasti pokalbiai,Основна конверзација,,,,,Podstawowe rozmowy,Conversação Básica,Conversație de bază,Повседневная речь,,,Osnovni pogovor,,Conversación Básica,,,,,ዝርርብ ቀንዲ,Ziriribi K´enidi,Temel iletisim / konuşma,بنیادی بات چیت,Bunyaadi baat cheet,
G001,GREETING_INFORMAL,Hello,Hallo,مرحبا,Marhaba,Përshëndetje,,Բարեւ Ձեզ,Barev Dzez,হ্যালো / সালাম,hello/salam,Zdravo / Bok / Ćao,Zdravei / Здравей,,Hola,,Ahoj,Hej,سلام,Salaam,Hallo,سلام,Salaam,Kamusta,Hei,salut,Γεια,Ya,Helló,Halló,Salve / Ciao,안녕,,Merheba,سڵاو,Labas / Laba diena (Good day),Здраво (Zdravo),,Hallo/Hei, سلام,Salaam,Cześć,Olá,Salut!,Привет / здравствуйте prʲɪvʲˈet / zdrˈastvʊjtʲɪ,,"Ahoj
",Zdravo,Hayye! / Nabad!,Hola,,Hej,வணக்கம்,Vanakkam,ሰላም፣ሰላማት,selam/selamat,Merhaba / Selam,سلام,Salaam,
G002,GREETING_MORNING,good morning,guten Morgen,صباح الخیر,Sabáh al-khayr,Mirëmëngjes,,Բարի լույս,pari louys,শুভ সকাল / সুপ্রভাত / স্লামালিকুম,shubho din / suprobhat / slāmālikum,Dobro jutro,Dobar den  /Добър ден,,Bon dia,,Dobrý den,Goddag,صبح بخیر,Sob bekhair,Goedemorgen,صبح بخیر,Sob bekheir,Magandang araw,Hyvää huomenta,bonjour,Καλημέρα,Kaliméra,Jó napot kívánok,Góðan daginn,Buongiorno,안녕하세요,,Roj baş,به‌یانیت باش ,Labas rytas,Добар ден (Dobar den),,God dag,سهار په خیر,Sahar pa khair,Dzień dobry,Bom dia,Bună ziua,Добрый день             dˈobrᵻj dʲˈenʲ,,"Dobrý deň
",Dober dan,subax wanaagsan,Buenos días,,Goddag,காலை வணக்கம்,kalai vanakkam,ደሓንዶ ሓዲርኩም,deHando Hadirkum,Günaydın,صبح بخیر,Subh behkeir,Xin chào
G003,GREETING_EVENING,good evening,guten Abend,مساء الخیر,massa Alchayr     Masa al-khayr      ,Mirëmbrëma,,Բարի երեկո,pari yerego,শুভ সন্ধ্যা,shubho sandhyā,Dobro veče / Dobra večer,Dobar vecher/ Добър вечер,,Bona nit,,Dobrý večer,God aften,شب بخیر,Shab bakhayr,Goedenavond,شب بخیر,Shab bekheir,Magandang gabi,Hyvää iltaa,bonsoir,Καλό βράδυ,Kaló vrádi,Jó estét,Góða kvöldið,Buonasera,안녕하세요,,Êvar baş,ئێواره‌ت باش,Labas vakaras,Добро вечер (Dobro vecher),,God kveld,شپه په خیر,Shpa pa Khair,Dobry wieczór,Boa noite,Bună seara,Добрый вечер           dˈobrᵻj vʲˈet͡ɕɪr,,Dobrý večer,Dober večer,caweys wanaagsan,Buenas noches,,Godkväll,மாலை வணக்கம்,malai vanakkam,ከመይ አምሲም።,dehan dom sichum,İyi akşamlar,شب بخیر,shab bekheir,
G004,GREETING_DEPARTURE,goodbye,auf Wiedersehen,مع السلامة,ma‘a 's-saláma / bye,Mirupafshim,,ցտեսություն,tsdesutiun,আবার দেখা হবে,abar dekha hobe,Doviđenja,Dovizhdane / Довиждане,,Adéu,,Na shledanou,Farvel,خداحافظ,khodaafez,"Tot ziens
",خداحافظ,khodaafez,Paalam,Näkemiin,au revoir,Εις το επανιδείν,Ta leme,Viszontlátásra,Vertu blessaður (m) / Vertu blessuð (f),Arrivederci,안녕히가세요,,Bi xatirê te/ Oxir be,خواحافیز,Iki,Довидување (Doviduvanje),,Hadet bra,د خدای په امان   ,da khday pa aman,Do widzenia,Adeus,La revedere,До свидания              də svʲɪdˈanʲɪjə,,Dovidenia,Nasvidenje,nabad gelyo,Adiós / Hasta pronto,,Hejdå,குட்பை,good bye,ደሓን ኵን,deHan kun,Hoşçakal,"خدا حافظ
",Khuda hafez,
G005,SORRY,sorry / excuse me ,Entschuldigung,عفوا/ المعذرة,"afwan, law samáht",Më falni,,(պատրվակում),neroghutiun,মাফ করবেন ...,maf korben.. ,Oprostite / Izvinite,Izvinete / Извинете,,Perdó - Disculpa,,Promiňte,Undskyld...,ببخشید,Bebakhshed,Sorry,ببخشید,Bebakhshid,Pasensya,Anteeksi,pardon / excusez-moi ,Συγγνώμη,Signómi,Elnézést,Afsakið/Fyrirgefðu,Scusate / Chiedo scusa,실례합니다,,Bibore,"ببورە , بەيارمەتيت",Atsiprašau,Извинете (Izvinete),,Unnskyld...,وبښه ,Wubakha/Wubakhsha,Przepraszam,Desculpe,Scuze,Извините / Извини / Простите / Прости    ɪzvʲɪnʲˈitʲɪ / ɪzvʲɪnʲˈi / prɐstʲˈitʲɪ / prɐstʲˈi,,Prepáčte,Oprostite.,iga raalli ahow,"Disculpa/ 
Perdona/ 
Lo siento ",,Ursäkta mig..,மன்னிக்கவும் / என்னை மன்னியுங்கள்,Maṉṉikkavum/ eṉṉai maṉṉiyuṅkal,ይቐሬታ,yichreta,Özür dilerim,"معاف کیجیے
",Maaf keejiye,Tôi xin lỗi.
G006,PLEASE,please,bitte,عفوا/ من فضلك,lou tismah/Afwan,Ju lutem,,խնդրեմ,hramme,প্লিজ / দয়া করে,please/ doya kore,Molim,Molia / Моля,,Si us plau,,Prosím,Vil du venligst,لطفاً,Lutfan,Alstublieft,لطفاً,Lotfan,Pakiusap,-,s'il vous plaît,Παρακαλώ,Parakaló,Kérem,Vinsamlegast,Per favore,부탁합니다,,Ji kerema xwe re/ Kerem ke,"ببورە , بەيارمەتيت",Prašau,Ве молам (Ve molam),,Vær så snill,لطفاً/مهربانی,lotfan,Proszę,Por favor,Vă rog,Пожалуйста      pɐʐˈaləstə,,Prosím,Prosim,fadlan,Por favor  ,,Snälla,தயவு செய்து,dhaiva seythu,በጃኺ,bjakha,Lütfen,مہربانی,Mehrbaani,Xin
G007,THANKS,thank you / thanks,danke,شکرا,Shukran,Faleminderit!,,Շնորհակալություն,shnurhagalutiun,ধন্যবাদ,dhonnobad,Hvala,Blagodaria / Благодаря,,Gràcies - Merci,,Děkuji / Díky,Mange tak,تشكر,Tashakor,Dankjewel,مرسی,Merci,(Maraming) Salamat,Kiitos,merci,Ευχαριστώ,Efharistó,Köszönöm,Takk,Grazie,감사합니다,,Spas,سوپاس,Ačiū,Фала (Fala),,Tusen takk,مننه ,Manana,Dziękuję,Obrigado / Obrigada,Mulțumesc,Спасибо          spɐsʲˈibə,,Ďakujem,Hvala,mahadsanid,Gracias ,,Tusen tack,நன்றி / நன்றி,nanri / nanri,ምስጋና ፨ የቀንየለይ,Mi´si´gana / yekenyelei,Teşekkürler,"شکریہ
",Shukriya,Cảm ơn
G008,REPLY_THANKS,you're welcome [response to thank you / thanks],gern geschehen,بكل سرور,Ahlan wa sahlan,S'ka përse!,,Խնդրեմ,Khndrem,স্বাগতম্,sbāgatam,,Molia / Моля,,De res,,,Det var så lidt,قابل تشکر نیست,qaabel tashakor nest,Graag gedaan,"خواهش میکنم
",Khahesh Meekonam,walang anuman,Olkaa hyvä,de rien,"Τίποτα, παρακαλώ",Típota,szívesen,,Prego,전만에요,,ser çavan,شايەني نييە,Nėra už ką / Prašom,,,Bare hyggelig / Værsågod,هیله کوم,Hela Kawom,Nie ma za co/Proszę bardzo,De nada / Não tem de quê,Cu plăcere,Пожалуйста,,,Ni za kaj,,De nada,,Varsågod ,நன்றி / நன்றி,nanri / nanri,ገንዘብኪ/ካ,genzebki/a,bir şey değil,آپ کو خوش آمديد      /    آپ کا شکریہ,Ap ko khush amdeed  /  Ap ka Shukriya,
G009,GIVE_OWN_NAME,my name is...,ich heiße...,اسمي,ismi,Emri im është…,,Անունս ...,im anouns,আমার নাম ...,amar nam ...,Zovem se,Az se kazvam / Аз се казвам,,Em dic ... - El meu nom és...,,Jmenuji se...,Jeg hedder ..,نام ام _____ است,Naamam ...ast,Ik heet ... / Mijn naam is ...,اسمم ... است,Esmam ... ast,Ako si...,Minun nimeni on...,je m'appelle...,Ονομάζομαι...,Onomázome...,...vagyok,Ég heiti...,Mi chiamo...,제 이름은,,Navê min …(y)e.,ناوم....,Mano vardas yra...,Се викам (Se vikam),,Jeg heter..,زما نوم ... دی ,Zma num … dai,Nazywam się...,O meu nome é...,Numele meu este...,Меня зовут...            mʲɪnʲˈæ zɐvˈut...,,Volám sa,Moje ime je...,magacaygu waa ___,Me llamo… / Mi nombre es... ,,Jag heter..,என் பெயர்.,en peyer,ስመይ ___ እዩ።,semey ___ ey-yu.,Adım ....,میرا نام...ہے,Mera naam ... hai,Tôi tên là...
G010,ASK_OTHERS_NAME,What is your name?,Wie heißen Sie?,ما اسمك؟,Shou Esmak,Si quheni? Si e keni emrin?,,Որն է քո անունը?,Vorn e k’vo anuny?,আপনার নাম কী?,apnar nam ki?,Kako se zovete? ,kak se kazvate? / как се казвате,,Com et dius?,,Jak se jmenujete?,Hvad hedder du?,نام تان چیست؟,Naametaan chist?,Hoe heet u?,اِسمتون چیه؟,esmetoon chieh?,Ano ang pangalan mo?,Mikä teidän nimenne on?,Comment vous appelez-vous?,Πώς ονομάζεστε;,Pós onomázeste?,Mi az ön neve?,Hvað heitir þú?,Come ti chiami?,성함이 어떻게 되세요?,,Navê te çi ye?,ناوت چیه ؟,Koks Jūsų vardas?,Како се викате? (Kako se vikate?),,Hva heter du?,ستاسو څه نوم دی؟  ,staso tsa num dai?,Jak się nazywasz?,Como se chama?,Cum vă cheamă?,Как Вас зовут?,,Ako sa voláte? ,Kako vam je ime?,magacaa?,¿Cómo se llama? / ¿Cuál es su nombre?,,Vad heter du?,உன் பெயர் என்ன?,Un peyer enna?,መን'ዩ ስምካ፧,men-yu semka?,Adın ne?,"آپ کا نام کیا ہے؟
",Aap ka naam kya hai?,
G011,GIVE_OWN_PROVENANCE,I’m from...,Ich komme aus...,انا من,Ana min,Unë jam nga…,,,yes ... goukam,আমি ..... থেকে আসছি,ami .... theke ashchhi,Ja sam iz...,Az sum ot / Аз съм от,,Sóc de... ,,Jsem z,Jeg kommer fra ..,مں از __ میآیم/هستم,Man az .... mi aayum,Ik kom uit ...,(مں از ۔۔۔۔۔۔۔۔ می آیم,Man az .... miyam,Galing ako sa...,Olen kotoisin ....sta.,Je viens de...,Κατάγομαι από...,ime apo,…-ból jövök,Ég kem frá...,Vengo da.../ Sono di...,저는 .....에서 왔습니다,,Ez ji ...me.,من خه‌ڵکی....,Aš esu iš...,Јас сум од (Jas sum od),,Jeg kommer fra..,زه د ... یم ,Za de ...yam,Jestem z...,Venho de... / Sou de...,Vin din...,Я из...                             jˈæ ˈis...,,Ja som z ,Prihajam iz / sem iz,waxaan ka imi ....,Soy de…. / Vengo de...,,Jag kommer från..,நான் இருந்து இருக்கிறேன் ...,Nāṉ iruntu irukkiṟēṉ...,... ኢየ።,... iye.,....den geliyorum,"میں ۔۔۔۔۔۔۔۔ سے آئی ہوں  / 
میں ۔۔۔۔۔۔۔۔ سے آیا ہوں
","Mein ____ se aayee hoon.(female saying it)  /  Mein ___ se aaya hoon. (male saying it)
",Tôi là người...
G012,FAMILY,family,(die) Familie,اسرة; عائلة,Oussra / Aa'ila,Familja,,,,পরিবার,poribar,porodica / obitelj / familija,semeystvo / семейство,,Família,,rodina,Familien,فامیل,Faamil,(de) familie,خانواده,Khaanevaadeh,Pamilya,perhe,La famille,Οικογένεια,Ikogènia,család,,Famiglia,가족,,malbat,خیزان,Šeima,Семејство (Semejstvo),,familien,کورنی,Koranay,rodzina,Família,Familie,семья,,"rodina
",družina,qoys / xaas,Familia,,familjen ,குடும்ப,kudumbam,ስድራ,sedra,aile,خاندان,Khaandaan,
G013,PRESENT_HUSBAND,this is my husband,das ist mein Mann,هذا زوجي,hada zawji / da zawji,Ky është burri im,,,as ... amousins e ,উনি ... আমার স্বামী,uni ... amar shami,Ovo je moj muž.,Tova e mazhat mi / Това е мажът ми,,(Aquest és) el meu marit,,To je můj muž,Det er min mand,این شوهرم است,Een shawharam ast,Dit is mijn man,این شوهرمه,Een shoharame,Siya ang asawa ko,Tässä on mieheni.,C'est mon mari,"Αυτός είναι 
ο άντρας μου",Aftós íne o ándras mu,Ez a férjem,Þetta er eiginmaðurinn minn...,Questo è mio marito,이 분은 나의 신랑입니다,,Ev mêrê min e.,مێرده‌که‌م,Tai mano vyras,Ова е маж ми (Ova e mazh mi),,Dette er min mann,دا زما میړه دی ,Da zma merra dai,To jest mój mąż,Ele é meu marido,Este soțul meu,Это мой муж          ˈɛtə mˈoj mˈuʂ,,"To je môj muž
",To je moj mož,ninkayga,Este es mi... marido / esposo,,Detta är min man,இவர் என் கணவர்,Ivar eṉ kaṇavar,እዚ በዓል በተይ,izi beal betey,Bu benim kocam ...,یہ میرا شوہر ہے,Yeh mera shohar hai,Đây là chồng tôi.
G014,WIFE,my wife,(meine) Frau,هذە زوجتی,hadihi zawjati /di mara'ti,Gruaja ime,,(...) կին,gines e ,আমার স্ত্রী ,amar stri ,Ovo je moja žena.,Tova e zhena mi / Това е жена ми,,La meva dona - la meva muller,,To je moje žena,Min kone,همسرم/ خانم من,Hamsaram,(Mijn) vrouw,زنم,Zanam,Asawa ko,vaimoni,(ma) Femme,"(Αυτή είναι) 
η γυναίκα (μου)",(Aftí íne) i ginéka (mu),a feleségem,Þetta er eiginkonan mín...,Questa è mia moglie,나의 아내,,Jina min,هاوسه‌ره‌که‌م -ژنەكەم,Mano žmona,Ова е жена ми (Ova e zhena mi),,min kone,زما ښځه ,Zma khaza / sha-za,moja żona,Ela é minha mulher,Este soția mea,...моя жена               mɐjˈæ ʐᵻnˈa,,"To je moja žena
",To je moja žena,naagtayda,Esta es mi... mujer / esposa ,,min fru,என் மனைவி,Eṉ maṉaivi,ሰበይተይ,sebeytey,karım, میری بیوی ,meri biwi ,Đây là vợ tôi.
G015,CHILDREN,my children,(meine) Kinder,أطفالي,Attfali,Fëmijët e mi,,(...) մանկական,yerekhaners en ,আমার বাচ্চারা  ,amar bachchara,Ovo su moja djeca / deca.,... decata mi,,Els meus fills,,Moje děti,Mine børn,اولادهایم,Awladaayam,mijn kinderen,بچه هام,Bachehaam,Mga anak ko,lapseni,mes enfants [pl.] / (mon enfant [sing]),"(Αυτά είναι)
τα παιδιά (μου)",(Afta íne) ta pediá (mu),a gyerekeim,Þetta eru börnin mín,Questi sono i miei figli,나의 아들 딸,,Zarokên min,مناڵه‌کانم,Mano vaikai,Ова се моите деца (Ova se moite deca),,mine barn,زما ماشومان ,zma mashuma-n,moje dziecko,Eles são meus filhos,Sunt copiii mei,...мои дети            mɐˈi dʲˈetʲɪ,,"Moje deti
",To so moji otroci,carruur ,Estos son mis hijos,,Mina barn,என் குழந்தைகள்,Eṉ kulandhaigal,ደቀይ,deqey,"çocuklarım (>1)
çocuğum (1)"," میرے بچّے 
",mere bachchey,
G016,DAUGHTER,my daughter,(meine) Tochter,ابنتي,binti,Vajza ime,,(...) աղջիկ,aghchigs,আমার মেয়ে,amar meye,Ovo je moja kći. / Ovo je moja ćerka.,dashteria mi / дъщеря ми,,La meva filla,,Moje dcera,Min datter,دخترم,dokhtaram,mijn dochter,دخترم,dokhtaram,Anak kong babae,tyttäreni,ma fille,"(Αυτή είναι) 
η κόρη (μου)",(Aftí íne) i kóri (mu),a lányom,Þetta er dóttir mín,Questa è mia figlia,나의 딸,,Keça min,کچه‌که‌م,Mano duktė,Ова е ќерка ми (Ova e kjerka mi),,min datter,"زما لور
",zma lur,moja córka,Ela é minha filha,Este fata mea,...моя дочь / дочка   mɐjˈæ dˈot͡ɕ / dˈot͡ɕkə,,"Moja dcéra
",(moja) hčerka,Gabadh / inan,Esta es mi hija,,Min dotter,என் மகள்,Eṉ maghaḷ,ጋለይ,guAley,kızım, میری بیٹی,meri beti ,
G017,SON,my son,(mein) Sohn,ابني,ibni,Djali im,,(...) որդի,dghas,আমার ছেলে,amar chhele,Ovo je moj sin.,sina mi / сина ми,,El meu fill,,Můj syn,Min søn,بچیم/ پسرمن,bachem/ pesar man,mijn zoon,پسرم,bachem/ pesar man,Anak kong lalake,poikani,mon fils,"(Αυτός είναι) 
ο γιος (μου)",(Aftós íne) o giós (mu),a fiam,Þetta er sonur minn,Questo è mio figlio,나의 아들,,Lawê min,کوڕه‌که‌م,Mano sūnus,Ова е син ми (Ova e sin mi),,min sønn,زما ځوی ,Zma zui,mój syn,Ele é meu filho,Este băiatul meu,...мой сын                 mˈoj sˈɨn,,"Môj syn
",(moj) sin,wiil / inan ,Este es mi hijo,,Min son,என் மகன்,Eṉ maghaṉ,ወደይ,wedey,oğlum, میرا بیٹا ,mera beta,
G018,BABY,my baby,(mein) Baby,طفلي,tifli,Foshnja ime,,(...) բալիկ,zavags,আমার বাচ্চা,amar bachcha,Ovo je moja beba.,moeto bebe / моето бебе,,El meu nadó,,Moje dítě,Min baby,طفلم / نوزادم,teflam / nawzaadam,mijn baby,نوزادم,nozaadam,Anak kong sanggol,vauvani,mon bébé,"(Αυτό είναι) 
το μωρό (μου)",(Aftó íne) to moró (mu),a kisbabám,Þetta er barnið mitt,Questo è il mio bambino,나의 아기,,Pitika min,مناڵه‌که‌م,Mano kūdikis,Моето бебе (Moeto bebe),,min baby,زما وړوکی ,"zma urrokai
",moje dziecko,É o meu bebé,Este bebelușul meu,...мой ребенок        mˈoj rʲɪbʲˈɵnək,,"Moje dieťa
",(moj) otrok,ilmaha,Este es mi bebé ,,Min bäbis,என் குழந்தை,Eṉ kuḻandhai,ሕጻን,his´an,bebeğim, میرا  بچہ,mera baccha,
G019,BROTHER,this is my brother,(das ist mein) Bruder,هذا أخي,hadha akhi,Ky është vëllai im.,,(...) եղբայր,yeghbayr,এটা ... আমার ভাই,eta ... amar bhai,Ovo je moj brat.,Tova e brat mi / това е брат ми,,(Aquest és) el meu germà,,Tohle je můj bratr,Det er min bror,این برادرم است.,een beraadaram ast,(dit is mijn) broer,این برادرمه,in baraadarameh,Siya ang kapatid ko,(Tässä on) veljeni.,(c'est mon) frère,Αυτός είναι ο αδερφός μου.,Aftós íne o aderfós mu.,Ez a testvérem,,Questo è mio fratello,이분은 나의 오빠 (동생) 입니다,,Ev birayê min e.,ئه وه برامه,Tai yra mano brolis,Ова е брат ми (Ova e brat mi),,Dette er broren min.,دا زما ورور دی    ,da zma wror dai,To mój brat.,Este é o meu irmão,Este fratele meu.,Это мой брат,,"Toto je môj brat
",(to je moj) brat,walaal,Este es mi hermano,,Detta är min bror ,"இது எனது சகோதரர்,","Idhu eṉu cakōtarar,",ሓወይ,hawey,Bu abim /Bu erkek kardeşim,یہ میرا بھائی ہے,Yeh mera bhai hai,
G020,SISTER,this is my sister,(das ist meine) Schwester,هذه أختي,hadhihi ukhti,Kjo është motra ime.,,(...) քույր,k’uyr,এটা ... আমার বোন,eta ... amar bon,Ovo je moja sestra.,Tova e sestra mi / това е сестра ми,,(Aquesta és) la meva germana,,Tohle je moje sestra,Det er min søster,این خواهرم است.,In khwaaram ast.,(dit is mijn) zus,این خواهرمه,in khaaharameh,Siya ang kapatid ko,(Tässä on) siskoni.,(c'est ma) soeur,Αυτή είναι η αδερφή μου.,Aftí íne i aderfí mu,Ez a testvérem,,Questa è mia sorella,이분은 나의 오빠 (동생) 입니다,,Ev xwişka min e.,ئه وه خوشکمه,Tai yra mano sesuo,Ова е сестра ми (Ova e sestra mi),,Dette er min søster.,دا زما خور ده  ,da zma khor da ,To moja siostra.,Esta é a minha irmã,Este sora mea.,Это моя сестра,,"Toto je moja sestra
",(to je moja) sestra,carruur ,Esta es mi hermana,,Detta är min syster ,இந்த என் சகோதரி,Inta eṉ cakōtari,ሓፍተይ,haftey,Bu ablam / bu kız kardeşim,یہ میری بہن ہے,"Yeh meri behen hai
",
