country,type,voltage,frequency
Abu Dhabi,G,230 V,50 Hz
Afghanistan,"C,F",230 V,50 Hz
Albania,"C,F",230 V,50 Hz
Algeria,"C,F",230 V,50 Hz
American Samoa,"A,B",120 V,60 Hz
Andorra,"C,F",230 V,50 Hz
Angola,"C,F",230 V,50 Hz
Anguilla,"A,B",110 V,60 Hz
Antigua and Barbuda,"A,B",110 V / 220 V,60 Hz
Argentina,I,230 V,50 Hz
Armenia,"C,F",230 V,50 Hz
Aruba,"A,B",120 V,60 Hz
Australia,I,230 V,50 Hz
Austria,"C,F",230 V,50 Hz
Azerbaijan,"C,F",230 V,50 Hz
Azores,"C,F",230 V,50 Hz
Bahamas,"A,B",120 V,60 Hz
Bahrain,G,230 V,50 Hz
Balearic Islands,"C,F",230 V,50 Hz
Bangladesh,"A,C,D,M,G",230 V,50 Hz
Barbados,"A,B",115 V,50 Hz
Belarus,"C,F",230 V,50 Hz
Belgium,"C,E",230 V,50 Hz
Belize,"A,B",110 V,60 Hz
Benin,"C,E",230 V,50 Hz
Bermuda,"A,B",120 V,60 Hz
Bhutan,"C,D,M",230 V,50 Hz
Bolivia,"A,B,C",230 V,50 Hz
Bonaire,"A,B,C,F",127 V / 220 V,50 Hz
Bosnia & Herzegovina,"C,F",230 V,50 Hz
Botswana,M,230 V,50 Hz
Brazil,"C,N",127 V / 220 V,60 Hz
British Virgin Islands,"A,B",110 V,60 Hz
Brunei,G,240 V,50 Hz
Bulgaria,"C,F",230 V,50 Hz
Burkina Faso,"C,E",230 V,50 Hz
Burma,"A,B,C,D,E,F,G,I",230 V,50 Hz
Burundi,"C,E",230 V,50 Hz
Cambodia,"A,B,C,F,G",230 V,50 Hz
Cameroon,"C,E",230 V,50 Hz
Canada,"A,B",120 V,60 Hz
Canary Islands,"C,F",230 V,50 Hz
Cape Verde,"C,F",230 V,50 Hz
Cayman Islands,"A,B",120 V,60 Hz
Central African Republic,"C,E",230 V,50 Hz
Chad,"C,E,F",230 V,50 Hz
Chile,"C,L",230 V,50 Hz
China,"A,C,I",230 V,50 Hz
Christmas Island,I,230 V,50 Hz
