Title,3d-plug,3d-sock,dia-plug,dia-sock
Plug Type A,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/A/A_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/A/A_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/A/A_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/A/A_dia_sock_l.png
Plug Type B,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/B/B_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/B/B_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/B/B_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/B/B_dia_sock_l.png
Plug Type C,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/C/C_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/C/C_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/C/C_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/C/C_dia_sock_l.png
Plug Type D,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/D/D_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/D/D_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/D/D_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/D/D_dia_sock_l.png
Plug Type E,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/E/E_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/E/E_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/E/E_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/E/E_dia_sock_l.png
Plug Type F,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/F/F_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/F/F_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/F/F_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/F/F_dia_sock_l.png
Plug Type G,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/G/G_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/G/G_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/G/G_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/G/G_dia_sock_l.png
Plug Type H,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/H/H_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/H/H_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/H/H_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/H/H_dia_sock_l.png
Plug Type I,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/I/I_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/I/I_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/I/I_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/I/I_dia_sock_l.png
Plug Type J,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/J/J_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/J/J_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/J/J_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/J/J_dia_sock_l.png
Plug Type K,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/K/K_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/K/K_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/K/K_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/K/K_dia_sock_l.png
Plug Type L,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/L/L_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/L/L_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/L/L_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/L/L_dia_sock_l.png
Plug Type M,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/M/M_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/M/M_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/M/M_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/M/M_dia_sock_l.png
Plug Type N,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/N/N_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/N/N_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/N/N_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/N/N_dia_sock_l.png
Plug Type O,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/O/O_3d_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/O/O_3d_sock_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/O/O_dia_plug_l.png,https://www.iec.ch/themes/custom/iec/images/world-plugs/types/O/O_dia_sock_l.png
